|12167|U||59049||C|4|C|L|0C||||03/11/1998|^|
|12168|||27558|||1||||||||^|
|12175|||22978|||2||||||||^|
|12213|||74153|||1||||||||^|
|12214|U||9931||C|2|C|L|0C||||11/26/1986|^|
|12220|||16570|||2||||||||^|
|12382|U||681||B|2|B|L|0B||||10/24/1996|^|
|12383|||15975|||2||||||||^|
|12420|U||39386||D|2|B|P|0D||||08/12/1993|^|
|12466|||69627|||1||||||||^|
|12467|||16849|||2||||||||^|
|12468|U||35420||C|2|C|L|0C||||01/02/1987|^|
|12567|U||21201||D|2|B|P|0D||||08/23/1993|^|
|12681|U||28617||A|1|A|L|0A||||06/01/1989|^|
|12683|U||42068||C|2|C|L|0C||||07/21/1993|^|
|12798|U||70253||D|2|B|P|0D||||08/10/1999|^|
|12900|||35504|||2||||||||^|
|12901|||24152|||1||||||||^|
|12902|||888|||1||||||||^|
|12907|||28255|||3||||||||^|
|12908|||35951|||2||||||||^|
|12930|U||52107||D|4|B|P|0D||||08/16/1993|^|
|12949|||52641|||2||||||||^|
|12950|||47569|||1||||||||^|
|12964|||26179|||1||||||||^|
|12965|||26179|||1||||||||^|
|12966|||73331|||1||||||||^|
|12967|||73257|||1||||||||^|
|12992|||10110|||1||||||||^|
|12993|U||58576||B|1|B|L|0B||||01/07/1993|^|
|13026|||74166|||1||||||||^|
|13027|||27470|||1||||||||^|
|13030|D||38899||D|1|B|L|0D||||05/19/1986|^|
|13060|||72066|||1||||||||^|
|13063|D||1046||D|1|B|L|0D||||01/03/1980|^|
|13079|||1724|||2||||||||^|
|13103|U||67848||B|4|B|L|0B||||08/16/1993|^|
|13116|||13649|||2||||||||^|
|13132|D||67285||D|2|B|L|0D||||10/06/1997|^|
|13133|U||19671||C|1|C|L|0C||||01/02/1987|^|
|13152|D||40745||D|2|B|L|0D||||07/01/1999|^|
|13171|||52342|||2||||||||^|
|13183|||48781|||1||||||||^|
|13201|||40996|||1||||||||^|
|13222|U||5297||C|3|C|L|0C||||02/06/1991|^|
|13226|||71317|||1||||||||^|
|13257|||25864|||1||||||||^|
|13267|D||54639||D|3|B|L|0D||||08/07/1987|^|
|13268|||74073|||1||||||||^|
|13286|U||10762||A|7|A|L|0A||||03/28/1997|^|
|13288|U||42137||C|2|C|L|0C||||12/31/1986|^|
|13289|||34558|||2||||||||^|
|13315|||36207|||2||||||||^|
|13330|||71014|||2||||||||^|
|13331|||26457|||2||||||||^|
|13367|U||8144||B|3|B|L|0B||||08/12/1993|^|
|13381|||74088|||1||||||||^|
|13404|||60088|||2||||||||^|
|13405|||58944|||2||||||||^|
|13406|||69871|||3||||||||^|
|13451|D||73871||D|1|B|L|0D||||07/11/1990|^|
|13496|D||37256||D|1|B|L|0D||||07/14/1993|^|
|13500|||40510|||1||||||||^|
|13517|||67210|||1||||||||^|
|13521|||31095|||1||||||||^|
|13543|||67812|||1||||||||^|
|13546|D||9072||D|1|B|L|0D||||08/22/1995|^|
|13547|||67812|||1||||||||^|
|13607|||33542|||2||||||||^|
|13608|||4113|||4||||||||^|
|13609|||67756|||2||||||||^|
|13610|U||24456||C|1|C|L|0C||||01/02/1987|^|
|13645|||73075|||1||||||||^|
|13661|U||59978||D|2|B|P|0D||||08/12/1993|^|
|13679|||12723|||2||||||||^|
|13681|||10828|||2||||||||^|
|13713|||44046|||1||||||||^|
|13714|||32998|||2||||||||^|
|13721|||36788|||2||||||||^|
|13770|||58364|||1||||||||^|
|13805|||20386|||2||||||||^|
|13839|||35111|||4||||||||^|
|13840|||53387|||1||||||||^|
|13892|D||28601||D|1|B|L|0D||||07/14/1993|^|
|14016|U||854||B|2|B|L|0B||||11/15/1991|^|
|14017|U||9636||A|1|A|L|0A||||08/15/1979|^|
|14019|U||70381||B|5|B|L|0B||||02/06/1991|^|
|14020|U||11076||D|1|B|L|0D||||07/01/1994|^|
|14022|||48244|||1||||||||^|
|14027|||52314|||2||||||||^|
|14245|||23039|||2||||||||^|
|14246|||13980|||1||||||||^|
|14329|||50011|||6||||||||^|
|14356|U||70877||B|1|B|L|0B||||07/11/1980|^|
|14365|||70462|||1||||||||^|
|14366|||62359|||2||||||||^|
|14367|||59695|||1||||||||^|
|14369|U||72785||B|1|B|L|0B||||06/03/1988|^|
|14370|||14668|||1||||||||^|
|14402|||41809|||1||||||||^|
|14410|U||11269||B|1|B|L|0B||||05/03/1982|^|
|14411|||35109|||4||||||||^|
|14423|||33469|||1||||||||^|
|14444|U||16904||D|1|B|L|0D||||08/06/2010|^|
|14469|||54902|||2||||||||^|
|14479|U||25744||D|2|B|L|0D||||10/07/1999|^|
|14481|||24590|||3||||||||^|
|14482|||64849|||1||||||||^|
